taxon,raw max temp warmest period,modelled max temp warmest period,raw precipitation driest  quarter,modelled precipitation driest quarter,raw mean temp driest quater,modelled_mean_temp_driest_quater,rraw,mmoddelled
Dendroceros subgenus apoceros,28,28.64999962,252.3333333,247,19,19.40000057,150,150
Dendroceros_subgenus_dendroceros,27.44444444,28.05257573,169.1666667,167.2409091,15.88888889,16.75318181,272.0555556,301.3257576
Megaceros_flagellaris,27.42857143,28.58099998,171.4285714,170.66,16,17.44700016,253.4285714,226.16
Megaceros_gracilis,23.28333333,23.58369219,212.0583333,212.48,11.83333333,12.2307692,279.0416667,278.2092308
Megaceros_pellucidus,18.09090909,18.35666676,264.1818182,267.1666667,11.90909091,12.20333341,308.6363636,322.6333333
Anthoceros fragilis,30,30.19999981,55,61,18.75,18.89999962,285.25,295.5
Anthoceros laminiferus,27,27.79999924,211,211,16,16.10000038,599,599
Anthoceros_punctatus,30,28.08274507,61,143.051634,18.5,15.41660129,295.5,292.8313725
Folioceros fuciformis,28.5,29.2249999,157.75,157.75,18.75,19.04999971,195.25,195.25
Notothylas javanicus,38,38.5,0,0,22.5,23.25,150,150
Phaeoceros engelii,25.16666667,,84.16666667,,18.16666667,,597.3333333,
Phaeoceros evanidus,28,28.25,135.6,144.5,14.2,13.875,227.8,219
Phaeoceros tuberosus,31.66666667,33.15000057,33.16666667,28.75,21.16666667,21.64999962,315.8333333,277.75
Phaeoceros_carolinianus ,25.828125,27.29704755,157.328125,158.4253968,13.1875,14.16438104,267.40625,276.8314286
Phaeoceros_inflatus,23.51428571,25.36589483,149.8,158.1031579,14.34285714,15.77442107,256.2285714,270.7410526
